nome_unidade_academica,sigla_unidade_academica,sigla_universidade
INSTITUTO DE CIENCIAS SOCIAIS APLICADAS,ICSA,UFPA
INSTITUTO DE TECNOLOGIA - ITEC,ITEC,UFPA
INSTITUTO DE CIENCIAS DA ARTE,ICA,UFPA
INSTITUTO DE CIENCIAS BIOLOGICAS,ICB,UFPA
INSTITUTO DE CIENCIAS EXATAS E NATURAIS,ICEN,UFPA
INSTITUTO DE FILOSOFIA E CIENCIAS HUMANAS,IFCH,UFPA
INSTITUTO DE LETRAS E COMUNICACAO - ILC,ILC,UFPA
INSTITUTO AMAZONICO DE AGRICULTURAS FAMILIARES - INEAF,INEAF,UFPA
INSTITUTO DE CIENCIAS JURIDICAS,ICJ,UFPA
INSTITUTO DE CIENCIAS DA EDUCACAO,ICED,UFPA
INSTITUTO DE CIENCIAS DA SAUDE,ICS,UFPA
INSTITUTO DE GEOCIENCIAS - IG,IG,UFPA
INSTITUTO DE EDUCACAO MATEMATICA E CIENTIFICA,IEMCI,UFPA
INSTITUTO DE CIENCIAS MEDICAS,ICM,UFPA
    
